entity	Journ-harm
Acteurs-Publics	Acteurs-Publics
Aujourd'hui-en-France--Edition-Principale	Aujourd'hui-en-France
L'Express,-no.-3585	L'Express
L'Express,-no.-3586	L'Express
L'Express,-no.-3588	L'Express
L'Express,-no.-3589	L'Express
L'Express,-no.-3591	L'Express
L'Express,-no.-3592	L'Express
L'Express,-no.-3594	L'Express
L'Express,-no.-3595	L'Express
L'Express,-no.-3596	L'Express
L'Express,-no.-3597	L'Express
L'Express,-no.-3598	L'Express
L'Express,-no.-3599	L'Express
L'Express,-no.-3601	L'Express
L'Express,-no.-3602	L'Express
L'Express,-no.-3608	L'Express
L'Express,-no.-3611	L'Express
L'Express,-no.-3614	L'Express
L'Express,-no.-3619	L'Express
l'Humanité	l'Humanité
La-Croix,-no.-41664	La-Croix
La-Croix,-no.-41666	La-Croix
La-Croix,-no.-41671	La-Croix
La-Croix,-no.-41672	La-Croix
La-Croix,-no.-41673	La-Croix
La-Croix,-no.-41677	La-Croix
La-Croix,-no.-41680	La-Croix
La-Croix,-no.-41683	La-Croix
La-Croix,-no.-41686	La-Croix
La-Croix,-no.-41693	La-Croix
La-Croix,-no.-41694	La-Croix
La-Croix,-no.-41696	La-Croix
La-Croix,-no.-41699	La-Croix
La-Croix,-no.-41701	La-Croix
La-Croix,-no.-41708	La-Croix
La-Croix,-no.-41715	La-Croix
La-Croix,-no.-41717	La-Croix
La-Croix,-no.-41718	La-Croix
La-Croix,-no.-41724	La-Croix
La-Croix,-no.-41726	La-Croix
La-Croix,-no.-41727	La-Croix
La-Croix,-no.-41730	La-Croix
La-Croix,-no.-41732	La-Croix
La-Croix,-no.-41734	La-Croix
La-Croix,-no.-41735	La-Croix
La-Croix,-no.-41742	La-Croix
La-Croix,-no.-41754	La-Croix
La-Croix,-no.-41755	La-Croix
La-Croix,-no.-41758	La-Croix
La-Croix,-no.-41786	La-Croix
La-Croix,-no.-41800	La-Croix
La-Croix,-no.-41805	La-Croix
La-Croix,-no.-41820	La-Croix
La-Croix,-no.-41821	La-Croix
La-Croix,-no.-41844	La-Croix
La-Croix,-no.-41859	La-Croix
La-Croix,-no.-41866	La-Croix
Le-Figaro,-no.-23486	Le-Figaro
Le-Figaro,-no.-23493	Le-Figaro
Le-Figaro,-no.-23501	Le-Figaro
Le-Figaro,-no.-23505	Le-Figaro
Le-Figaro,-no.-23511	Le-Figaro
Le-Figaro,-no.-23514	Le-Figaro
Le-Figaro,-no.-23515	Le-Figaro
Le-Figaro,-no.-23516	Le-Figaro
Le-Figaro,-no.-23517	Le-Figaro
Le-Figaro,-no.-23518	Le-Figaro
Le-Figaro,-no.-23520	Le-Figaro
Le-Figaro,-no.-23521	Le-Figaro
Le-Figaro,-no.-23522	Le-Figaro
Le-Figaro,-no.-23523	Le-Figaro
Le-Figaro,-no.-23524	Le-Figaro
Le-Figaro,-no.-23525	Le-Figaro
Le-Figaro,-no.-23526	Le-Figaro
Le-Figaro,-no.-23527	Le-Figaro
Le-Figaro,-no.-23528	Le-Figaro
Le-Figaro,-no.-23529	Le-Figaro
Le-Figaro,-no.-23530	Le-Figaro
Le-Figaro,-no.-23531	Le-Figaro
Le-Figaro,-no.-23533	Le-Figaro
Le-Figaro,-no.-23534	Le-Figaro
Le-Figaro,-no.-23535	Le-Figaro
Le-Figaro,-no.-23536	Le-Figaro
Le-Figaro,-no.-23537	Le-Figaro
Le-Figaro,-no.-23539	Le-Figaro
Le-Figaro,-no.-23543	Le-Figaro
Le-Figaro,-no.-23544	Le-Figaro
Le-Figaro,-no.-23545	Le-Figaro
Le-Figaro,-no.-23546	Le-Figaro
Le-Figaro,-no.-23548	Le-Figaro
Le-Figaro,-no.-23549	Le-Figaro
Le-Figaro,-no.-23550	Le-Figaro
Le-Figaro,-no.-23551	Le-Figaro
Le-Figaro,-no.-23552	Le-Figaro
Le-Figaro,-no.-23553	Le-Figaro
Le-Figaro,-no.-23554	Le-Figaro
Le-Figaro,-no.-23555	Le-Figaro
Le-Figaro,-no.-23558	Le-Figaro
Le-Figaro,-no.-23560	Le-Figaro
Le-Figaro,-no.-23563	Le-Figaro
Le-Figaro,-no.-23565	Le-Figaro
Le-Figaro,-no.-23566	Le-Figaro
Le-Figaro,-no.-23567	Le-Figaro
Le-Figaro,-no.-23568	Le-Figaro
Le-Figaro,-no.-23569	Le-Figaro
Le-Figaro,-no.-23570	Le-Figaro
Le-Figaro,-no.-23571	Le-Figaro
Le-Figaro,-no.-23572	Le-Figaro
Le-Figaro,-no.-23573	Le-Figaro
Le-Figaro,-no.-23574	Le-Figaro
Le-Figaro,-no.-23575	Le-Figaro
Le-Figaro,-no.-23576	Le-Figaro
Le-Figaro,-no.-23577	Le-Figaro
Le-Figaro,-no.-23579	Le-Figaro
Le-Figaro,-no.-23580	Le-Figaro
Le-Figaro,-no.-23583	Le-Figaro
Le-Figaro,-no.-23584	Le-Figaro
Le-Figaro,-no.-23594	Le-Figaro
Le-Figaro,-no.-23595	Le-Figaro
Le-Figaro,-no.-23606	Le-Figaro
Le-Figaro,-no.-23611	Le-Figaro
Le-Figaro,-no.-23616	Le-Figaro
Le-Figaro,-no.-23627	Le-Figaro
Le-Figaro,-no.-23630	Le-Figaro
Le-Figaro,-no.-23632	Le-Figaro
Le-Figaro,-no.-23633	Le-Figaro
Le-Figaro,-no.-23635	Le-Figaro
Le-Figaro,-no.-23640	Le-Figaro
Le-Figaro,-no.-23642	Le-Figaro
Le-Figaro,-no.-23647	Le-Figaro
Le-Figaro,-no.-23650	Le-Figaro
Le-Figaro,-no.-23653	Le-Figaro
Le-Figaro,-no.-23655	Le-Figaro
Le-Figaro,-no.-23661	Le-Figaro
Le-Figaro,-no.-23662	Le-Figaro
Le-Figaro,-no.-23664	Le-Figaro
Le-Figaro,-no.-23666	Le-Figaro
Le-Figaro,-no.-23670	Le-Figaro
Le-Figaro,-no.-23672	Le-Figaro
Le-Figaro,-no.-23674	Le-Figaro
Le-Figaro,-no.-23677	Le-Figaro
Le-Figaro,-no.-23679	Le-Figaro
Le-Figaro,-no.-23680	Le-Figaro
Le-Figaro,-no.-23692	Le-Figaro
Le-Figaro,-no.-23693	Le-Figaro
Le-Figaro,-no.-23694	Le-Figaro
Le-Figaro,-no.-23710	Le-Figaro
Le-Figaro,-no.-23712	Le-Figaro
Le-Figaro,-no.-23714	Le-Figaro
Le-Monde	Le-Monde
Le-Point,-no.-2480	Le-Point
Le-Point,-no.-2481	Le-Point
Le-Point,-no.-2483	Le-Point
Le-Point,-no.-2484	Le-Point
Le-Point,-no.-2485	Le-Point
Le-Point,-no.-2486	Le-Point
Le-Point,-no.-2487	Le-Point
Le-Point,-no.-2488	Le-Point
Le-Point,-no.-2491	Le-Point
Le-Point,-no.-2493	Le-Point
Le-Point,-no.-2494	Le-Point
Le-Point,-no.-2495	Le-Point
Le-Point,-no.-2496	Le-Point
Le-Point,-no.-2499	Le-Point
Le-Point,-no.-2502	Le-Point
Le-Point,-no.-2505	Le-Point
Le-Point,-no.-2510	Le-Point
Libération	Libération
Valeurs-Actuelles,-no.-4348	Valeurs-Actuelles
Valeurs-Actuelles,-no.-4349	Valeurs-Actuelles
Valeurs-Actuelles,-no.-4350	Valeurs-Actuelles
Valeurs-Actuelles,-no.-4351	Valeurs-Actuelles
Valeurs-Actuelles,-no.-4352	Valeurs-Actuelles
Valeurs-Actuelles,-no.-4353	Valeurs-Actuelles
Valeurs-Actuelles,-no.-4354	Valeurs-Actuelles
Valeurs-Actuelles,-no.-4355	Valeurs-Actuelles
Valeurs-Actuelles,-no.-4356	Valeurs-Actuelles
Valeurs-Actuelles,-no.-4358	Valeurs-Actuelles
